Track Name,Artist,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms,time_signature,Genre,hiphop,rap,pop,trap,electronic,rnb,femalevocalists,dance,indie,latin,Label
Dance Monkey,Tones And I,8928593,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,https://api.spotify.com/v1/audio-analysis/1rgnBhdG2JDFTbYkYRZAku,209755,4,"pop,2019,tones and i,2010s,acid jazz,pop,australian,indie pop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Survival,Drake,8611591,0.685,0.593,9,-9.083,0,0.284,0.134,0.0,0.123,0.14400000000000002,84.76299999999998,https://api.spotify.com/v1/audio-analysis/71SEHJPt1iDwGkBhUOAXDP,136187,4,"hip hop,rap,hip hop,rnb,drake,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
God's Plan,Drake,8553009,0.758,0.448,7,-9.441,1,0.103,0.0309,8.669999999999999e-05,0.5579999999999999,0.373,77.176,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,198960,4,"hiphop,rap,hiphop,rnb,drake,hiphop,rap,hiphop",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Despacito - Remix,Luis Fonsi,8525474,0.6940000000000001,0.815,2,-4.328,1,0.12,0.229,0.0,0.0924,0.813,88.931,https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb,228827,4,"latin,pop,latin pop,spanish,romantica,latin,pop,latin pop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Blinding Lights,The Weeknd,8453567,0.513,0.7959999999999999,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4,"synthpop,synthwave,the weeknd,pop,2010s,rnb,electronic,canadian",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
Lose You To Love Me,Selena Gomez,8166076,0.505,0.34,4,-9.005,1,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,https://api.spotify.com/v1/audio-analysis/1HfMVBKM75vxSfsQ5VefZ5,206459,4,"rare,pop,dance,2019,selena gomez,pop,female vocalists,disney",0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
HIGHEST IN THE ROOM,Travis Scott,8000249,0.598,0.4270000000000001,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,175721,4,"rap, love at first listen, trap, 2010s, 2019",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,7945784,0.614,0.8390000000000001,0,-4.143,1,0.0702,0.0291,0.0,0.112,0.657,182.123,https://api.spotify.com/v1/audio-analysis/4Sib57MmYGJzSvkW84jTwh,193040,4,"pop,taylor swift,female vocalists,brendon urie,queen of pop,pop,country,female vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Look What You Made Me Do,Taylor Swift,7908492,0.767,0.6709999999999999,9,-6.416,0,0.142,0.21,1.12e-05,0.129,0.474,128.072,https://api.spotify.com/v1/audio-analysis/2VjtYe7gpfUi2OkGxR2O2z,211859,4,"pop,reputation,dance,electropop,best of 2017,pop,country,female vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
Jocelyn Flores,XXXTENTACION,7900110,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.4370000000000001,134.02100000000002,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133,4,"hip hop,cloud rap,rap,trap,emo,hip hop,cloud rap,rap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Dynamite,BTS,7778950,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,https://api.spotify.com/v1/audio-analysis/0v1x6rN6JHRapa03JElljE,199054,4,"soul,funk,disco,k pop,bts,kpop",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
cardigan,Taylor Swift,7742178,0.613,0.581,0,-8.588,0,0.0424,0.537,0.00034500000000000004,0.25,0.551,130.033,https://api.spotify.com/v1/audio-analysis/4LEK9rD7TWIG4FCL1s27XC,239560,4,"pop,country,female vocalists,taylor swift,singer songwriter,pop,country,female vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"break up with your girlfriend, i'm bored",Ariana Grande,7709744,0.726,0.5539999999999999,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.99900000000005,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,190440,4,"pop,trap,rnb,rap,best of 2019,pop,rnb,female vocalists",0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
Emotionless,Drake,7690019,0.413,0.6759999999999999,1,-5.124,1,0.213,0.0239,0.0,0.0811,0.0827,173.47799999999995,https://api.spotify.com/v1/audio-analysis/1v1IXPXl73Z7zy6f5tUa9n,302173,4,"hip hop,rap,hip hop,rnb,drake,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
positions,Ariana Grande,7625423,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,https://api.spotify.com/v1/audio-analysis/7igeByaBM0MgGsgXtNxDJ7,172325,4,"pop,rnb,female vocalists,ariana grande,love at first listen,pop,rnb,female vocalists",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
Elevate,Drake,7502102,0.755,0.47,1,-8.72,1,0.139,0.0153,0.0,0.118,0.0604,76.056,https://api.spotify.com/v1/audio-analysis/4uloft7ZE54WflsuqFmjC7,184960,4,"hip hop,rap,hip hop,rnb,drake,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
THE SCOTTS,THE SCOTTS,7446848,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,165978,4,"kid cudi,the scotts,travis scott",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
The Box,Roddy Ricch,7427860,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4,"hip hop,rap,trap,hip hop,american,hip hop,rap,trap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
the 1,Taylor Swift,7420303,0.777,0.35700000000000004,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.88299999999998,https://api.spotify.com/v1/audio-analysis/0Jlcvv8IykzHaSmj49uNW8,210252,4,"pop,country,female vocalists,taylor swift,singer songwriter,pop,country,female vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Circles,Post Malone,7292777,0.7040000000000001,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003,https://api.spotify.com/v1/audio-analysis/4VginDwYTP2eaHJzO0QMjG,214907,4,"pop,indie pop,post malone,pop rock,2010s,hip hop,rap,trap",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
bad guy,Billie Eilish,7220348,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4,"electropop,pop,dance pop,indie,indie pop,pop,indie pop,electropop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Don’t Matter To Me,Drake,7207106,0.825,0.317,10,-12.39,1,0.0583,0.4970000000000001,0.0128,0.11,0.136,103.001,https://api.spotify.com/v1/audio-analysis/36ONiya0OANYknz0GgJmwB,245787,4,"hip hop,rap,hip hop,rnb,drake,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
WAP (feat. Megan Thee Stallion),Cardi B,7175768,0.935,0.454,1,-7.508999999999999,1,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4,"sexy,sex,cum,cardi b,wap wap wap,hip hop,rap,trap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
No Time To Die,Billie Eilish,7166720,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.53699999999998,https://api.spotify.com/v1/audio-analysis/73SpzrcaHk0RQPFP73vqVR,242265,4,"james bond,pop,billie eilish,indie pop,2020,pop,indie pop,electropop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rockstar,Post Malone,7156650,0.5770000000000001,0.522,5,-6.5939999999999985,0,0.0984,0.13,9.03e-05,0.142,0.119,159.77200000000005,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,218320,4,"hip hop,rap,american,soul,trap,hip hop,rap,trap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
STARGAZING,Travis Scott,7138624,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,https://api.spotify.com/v1/audio-analysis/7wBJfHzpfI3032CSD7CE2m,270715,4,"hip hop, rap, travis scott, psychedelic, trap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Santa Tell Me,Ariana Grande,7092610,0.464,0.63,7,-7.3370000000000015,1,0.182,0.0464,0.0,0.295,0.527,132.96,https://api.spotify.com/v1/audio-analysis/1ADjWm8QNhgNV8yCNNgQ1T,204093,5,"ariana grande,pop,christmas,female vocalists,dance,pop,rnb,female vocalists",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
8 Out Of 10,Drake,7089070,0.534,0.684,11,-7.874,0,0.7170000000000001,0.16399999999999998,0.0,0.499,0.338,170.416,https://api.spotify.com/v1/audio-analysis/5fcM0StdQxMjzulVGhFkHN,195720,4,"hip hop,rap,hip hop,rnb,drake,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
exile (feat. Bon Iver),Taylor Swift,6977835,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,https://api.spotify.com/v1/audio-analysis/4pvb0WLRcMtbPGmtejJJ6y,285634,4,"pop,country,female vocalists,taylor swift,singer songwriter,pop,country,female vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Moonlight,XXXTENTACION,6928295,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,135090,4,"hip hop,rap,emo,hip hop,emo rap,hip hop,cloud rap,rap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
It's Beginning to Look a Lot like Christmas,Michael Bublé,6925880,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,https://api.spotify.com/v1/audio-analysis/0lLdorYw7lVrJydTINhWdI,206640,3,"christmas,cover,michael buble,christmas time,jazzysxmas,jazz,swing,christmas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Rain On Me (with Ariana Grande),Lady Gaga,6894472,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,https://api.spotify.com/v1/audio-analysis/24ySl2hOPGCDcxBxFIqWBu,182200,4,"ariana grande,lady gaga,chromatica,pop,dance pop,pop,dance,electronic",0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
everything i wanted,Billie Eilish,6706379,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,245426,4,"billie eilish,synthpop,indie pop,2019,2010s,pop,indie pop,electropop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MIA (feat. Drake),Bad Bunny,6592787,0.8170000000000001,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,210368,4,"bad bunny,latin,hip hop,reggaeton",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Stuck with U (with Justin Bieber),Ariana Grande,6583884,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,https://api.spotify.com/v1/audio-analysis/4HBZA5flZLE435QTztThqH,228482,3,"pop,rnb,female vocalists,ariana grande,love at first listen,pop,rnb,female vocalists",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
HUMBLE.,Kendrick Lamar,6577558,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4,"rap,hip hop,2017,hip hop,west coast hip hop,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Toosie Slide,Drake,6574812,0.8340000000000001,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.8370000000000001,81.618,https://api.spotify.com/v1/audio-analysis/127QTOFJsJQp5LbJbu3A1y,247059,4,"drake,rap,hip hop,trash,pop rap,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SICKO MODE,Travis Scott,6546842,0.8340000000000001,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.00799999999995,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4,"rap, hip hop, american, trap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Psycho (feat. Ty Dolla $ign),Post Malone,6546243,0.748,0.546,8,-8.134,1,0.106,0.59,0.0,0.112,0.413,140.005,https://api.spotify.com/v1/audio-analysis/7wrDRQgHlvDnimrRHfQZxt,220880,4,"postmalone,pop,hiphop,rap,trap,hiphop,rap,trap",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
I'm Upset,Drake,6528547,0.899,0.5920000000000001,11,-7.901,0,0.333,0.263,0.0,0.0831,0.504,149.953,https://api.spotify.com/v1/audio-analysis/54oMZ3blwWwuPN4wEoG5mk,214139,4,"rap,hip hop,hip hop,drake,canadian,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Call Out My Name,The Weeknd,6473226,0.489,0.598,1,-4.9289999999999985,1,0.036000000000000004,0.218,0.0,0.35,0.172,134.045,https://api.spotify.com/v1/audio-analysis/1gm616Plq4ScqNi7TVkZ5N,228373,3,"rnb,soul,canadian,r&b,urban,rnb,electronic,canadian",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
Jingle Bell Rock,Anita Kerr Singers,6447700,0.741,0.326,2,-12.045,1,0.0395,0.918,0.0,0.0658,0.7509999999999999,120.992,https://api.spotify.com/v1/audio-analysis/4IdXngKo4g5exqZ0fQTecu,130267,4,"easy listening, vocal groups, indie, trip hop, lounge",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Nice For What,Drake,6443974,0.5670000000000001,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN,210926,4,"rap,hip hop,drake,hip hop,bounce,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Tusa,KAROL G,6437662,0.8029999999999999,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,https://api.spotify.com/v1/audio-analysis/7k4t7uLgtOxPwTpFmtJNTY,200960,4,"nicki minaj,pop,latin pop,rap,karol g,latin,reggaeton,latin pop",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Hawái,Maluma,6400816,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.06599999999997,https://api.spotify.com/v1/audio-analysis/4uoR6qeWeuL4Qeu2qJzkuG,200198,4,"reggaeton,latin,pop,colombia,sexy,reggaeton,latin,pop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Mood (feat. iann dior),24kGoldn,6367748,0.7,0.722,7,-3.5580000000000003,0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.989,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4,"hip hop,rap,electronic,trap,pop,hip hop,rap,electronic",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Paranoid,Post Malone,6268762,0.625,0.536,0,-5.428,1,0.0776,0.038,2.31e-05,0.16699999999999998,0.253,159.914,https://api.spotify.com/v1/audio-analysis/3fpVWegR6YOS1Yk5HSMYIq,221787,4,"hip hop,rap,trap,cloud rap,pop,hip hop,rap,trap",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,6255332,0.8420000000000001,0.8009999999999999,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,212500,4,"latin,dance,edm,french,pop,trap,electronic,dance",0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1
Sour Candy (with BLACKPINK),Lady Gaga,6225375,0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,https://api.spotify.com/v1/audio-analysis/6R6ZoHTypt5lt68MWbzZXv,157707,4,"blackpink,chromatica,pop,lady gaga,electropop,pop,dance,electronic",0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
Saint-Tropez,Post Malone,6207837,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,https://api.spotify.com/v1/audio-analysis/7C39RtGhnEw7cyf0Pyw7PV,150867,4,"post malone,2010s,2019,hip hop,rap,hip hop,rap,trap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Talk Up,Drake,6192523,0.759,0.479,11,-10.65,1,0.18600000000000005,0.0039,5.3e-06,0.302,0.34700000000000003,140.089,https://api.spotify.com/v1/audio-analysis/3Yw09dj3cTXsAzlLjgBfIP,195813,4,"rap, jay z, jay z, straight rap",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
changes,XXXTENTACION,6141143,0.6940000000000001,0.319,11,-10.061,1,0.0303,0.883,0.0,0.095,0.493,129.797,https://api.spotify.com/v1/audio-analysis/4PANCoXZX3RaT2D6mqSdEU,121969,4,"hiphop,rap,emo,postnerdcore,xxxtentacion,hiphop,cloudrap,rap",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Don't Start Now,Dua Lipa,6100930,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,https://api.spotify.com/v1/audio-analysis/6WrI0LAC5M1Rw2MnX2ZvEg,183290,4,"future nostalgia,disco,pop,dont start now,dance,pop,synthpop,british",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Better Now,Post Malone,6090230,0.68,0.578,10,-5.8039999999999985,1,0.04,0.331,0.0,0.135,0.341,145.03799999999995,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4,"post malone,rap,trap,rnb,cloud rap,hip hop,rap,trap",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Rockin' Around The Christmas Tree,Miley Cyrus,6059675,0.603,0.713,10,-7.579,0,0.0351,0.0409,0.0,0.27,0.7959999999999999,141.985,https://api.spotify.com/v1/audio-analysis/5lyikKk6KFWfWCuDDir9Fx,116547,4,"pop,female vocalists,dance,disney,miley cyrus,pop,female vocalists,dance",0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
Beautiful People (feat. Khalid),Ed Sheeran,6042828,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,197867,4,"pop,khalid,2010s,2019,ed sheeran,acoustic,british,singer songwriter",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
It's the Most Wonderful Time of the Year,Andy Williams,6030656,0.24,0.598,7,-8.435,1,0.0369,0.7659999999999999,0.0,0.117,0.7759999999999999,201.629,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,151933,3,"christmas,christmas music,xmas,60s,male vocalists,oldies,60s,easy listening",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Mob Ties,Drake,6018735,0.755,0.575,4,-8.392000000000001,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,https://api.spotify.com/v1/audio-analysis/7txPE73wHbuXYkM1h8zNrG,205147,4,"hip hop,rap,hip hop,rnb,drake,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
I'm the One,DJ Khaled,6017497,0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.8170000000000001,80.984,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,288877,4,"dj khaled,migos,quavo,rap,hip hop,hip hop,rap,hip hop",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
After Hours,The Weeknd,5999269,0.6629999999999999,0.5670000000000001,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,https://api.spotify.com/v1/audio-analysis/4ejyZ4uJEXUURcgKp1kP8v,361947,4,"the weeknd,synthpop,rnb,synthwave,r&b,rnb,electronic,canadian",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
Heartless,The Weeknd,5983842,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,https://api.spotify.com/v1/audio-analysis/57vxBYXtHMk6H1aD29V7PU,200080,4,"the weeknd,rnb,electronic,dubstep,canadian,rnb,electronic,canadian",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
